표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7260870001","260870","SK시그넷","SK시그넷","SK Signet","2017/08/30","KONEX","주권","일반기업부","보통주","500","21674747"
"KR7296520000","296520","가이아코퍼레이션","가이아코퍼레이션","GAIA CORPORATION","2023/06/20","KONEX","주권","일반기업부","보통주","500","4667008"
"KR7086220001","086220","광동헬스바이오","광동헬스바이오","KwangdongHealthbio","2015/07/09","KONEX","주권","일반기업부","보통주","500","12687865"
"KR7244880001","244880","나눔테크","나눔테크","NANOOM","2016/06/01","KONEX","주권","일반기업부","보통주","500","5020000"
"KR7317860005","317860","노드메이슨","노드메이슨","Nordmason","2019/12/06","KONEX","주권","일반기업부","보통주","500","4513215"
"KR7229500004","229500","노브메타파마","노브메타파마","NOVMETAPHARMA","2015/10/28","KONEX","주권","일반기업부","보통주","500","12841554"
"KR7178600003","178600","대동고려삼 주식회사","대동고려삼","DAEDONG KOREA GINSENG CO.,LTD.","2013/12/20","KONEX","주권","일반기업부","보통주","500","4449600"
"KR7114920002","114920","대주이엔티 주식회사","대주이엔티","Daejoo Energy INnovation Technology Co.,Ltd","2013/07/01","KONEX","주권","일반기업부","보통주","500","3469500"
"KR7302920004","302920","더콘텐츠온","더콘텐츠온","TCO","2018/08/13","KONEX","주권","일반기업부","보통주","500","4552359"
"KR7199150004","199150","데이터스트림즈","데이터스트림즈","Data Streams Corp.","2014/06/25","KONEX","주권","일반기업부","보통주","500","4268613"
"KR7227420007","227420","도부","도부","DOBU","2016/12/28","KONEX","주권","일반기업부","보통주","500","38044510"
"KR7403360001","403360","라피치","라피치","RAPEECH","2021/12/14","KONEX","주권","일반기업부","보통주","500","3585817"
"KR7092590009","092590","럭스피아","럭스피아","Luxpia","2015/10/30","KONEX","주권","일반기업부","보통주","500","7291098"
"KR7266170000","266170","레드우즈","레드우즈","REDWOODS","2017/06/09","KONEX","주권","일반기업부","보통주","500","1301040"
"KR7223220005","223220","로지스몬","로지스몬","Logis Mon","2015/07/09","KONEX","주권","일반기업부","보통주","100","5702919"
"KR7162120000","162120","루켄테크놀러지스","루켄테크놀러지스","LUKEN Technologies","2017/07/25","KONEX","주권","일반기업부","보통주","500","11156602"
"KR7253610000","253610","루트락","루트락","Rootloc","2020/12/24","KONEX","주권","일반기업부","보통주","500","10258071"
"KR7448780007","448780","마이크로엔엑스","마이크로엔엑스","MicroNX","2022/12/21","KONEX","주권","일반기업부","보통주","500","2677680"
"KR7179720008","179720","머니무브","머니무브","MoneyMove","2013/07/01","KONEX","주권","일반기업부","보통주","500","2750018"
"KR7200580009","200580","메디쎄이","메디쎄이","MEDYSSEY","2015/10/20","KONEX","주권","일반기업부","보통주","500","3726079"
"KR7233250000","233250","메디안디노스틱","메디안디노스틱","Median Diagnostics","2017/06/26","KONEX","주권","일반기업부","보통주","500","1746534"
"KR7236340006","236340","메디젠휴먼케어","메디젠휴먼케어","Medizen Humancare","2016/01/26","KONEX","주권","일반기업부","보통주","500","3014647"
"KR7322970005","322970","무진메디","무진메디","Moogene Medi","2020/06/24","KONEX","주권","일반기업부","보통주","500","10085689"
"KR7208890004","208890","미래엔에듀파트너","미래엔에듀파트너","MiraeN Edupartner Co., Ltd.","2014/12/18","KONEX","주권","일반기업부","보통주","1000","4005520"
"KR7351020003","351020","미쥬","미쥬","MIJU","2023/10/26","KONEX","주권","일반기업부","보통주","100","2075000"
"KR7354390007","354390","바스칸바이오제약","바스칸바이오제약","BASKHANBIO","2022/07/20","KONEX","주권","일반기업부","보통주","2500","7018247"
"KR7266470004","266470","바이오인프라생명과학","바이오인프라생명과학","BioInfra Life Science","2020/07/22","KONEX","주권","일반기업부","보통주","500","27866019"
"KR7289170003","289170","바이오텐","바이오텐","Bioten","2023/10/13","KONEX","주권","일반기업부","보통주","500","3576689"
"KR7199290008","199290","바이오프로테크","바이오프로테크","BIOPROTECH","2016/12/08","KONEX","주권","일반기업부","보통주","500","16325192"
"KR7496320003","496320","본시스템즈","본시스템즈","BSC","2025/09/08","KONEX","주권","일반기업부","보통주","100","1015973"
"KR7206950008","206950","볼빅","볼빅","Volvik","2015/12/30","KONEX","주권","일반기업부","보통주","500","14077265"
"KR7191600006","191600","블루탑","블루탑","BLUETOP","2016/08/05","KONEX","주권","일반기업부","보통주","500","2858928"
"KR7267080000","267080","세븐브로이맥주","세븐브로이맥주","Sevenbrau","2024/01/17","KONEX","주권","일반기업부","보통주","500","11871408"
"KR7238500003","238500","솔루믹스","솔루믹스","Solumix","2016/04/20","KONEX","주권","일반기업부","보통주","500","20807304"
"KR7217320001","217320","썬테크","썬테크","SUNTECH","2015/04/29","KONEX","주권","일반기업부","보통주","500","1050000"
"KR7236030003","236030","씨알푸드","씨알푸드","SSIAL FOOD","2017/12/14","KONEX","주권","일반기업부","보통주","500","2033332"
"KR7103660007","103660","씨앗","씨앗","CIAAT","2015/06/22","KONEX","주권","일반기업부","보통주","500","6017471"
"KR7245450002","245450","씨앤에스링크","씨앤에스링크","CNSLINK","2016/06/24","KONEX","주권","일반기업부","보통주","500","1579960"
"KR7403810005","403810","아이엘로보틱스","아이엘로보틱스","IL ROBOTICS","2025/11/18","KONEX","주권","일반기업부","보통주","100","9937346"
"KR7456570001","456570","아이엠지티","아이엠지티","IMGT","2023/07/19","KONEX","주권","일반기업부","보통주","500","5264804"
"KR7447690009","447690","아이오바이오","아이오바이오","AIOBIO","2022/12/28","KONEX","주권","일반기업부","보통주","500","2630256"
"KR7149010001","149010","아이케이세미콘","아이케이세미콘","IK Semicon Co., Ltd","2014/11/14","KONEX","주권","일반기업부","보통주","500","3120000"
"KR7243870003","243870","아이티센코어","아이티센코어","ITCENCORE","2016/10/31","KONEX","주권","일반기업부","보통주","500","2892631"
"KR7102950003","102950","아하","아하","AHA","2022/11/30","KONEX","주권","일반기업부","보통주","500","13121903"
"KR7251280004","251280","안지오랩","안지오랩","AngioLab","2016/10/25","KONEX","주권","일반기업부","보통주","500","3491870"
"KR7390110005","390110","애니메디솔루션","애니메디솔루션","Anymedi","2022/12/21","KONEX","주권","일반기업부","보통주","500","9697047"
"KR7224810002","224810","엄지하우스","엄지하우스","EOMJIHOUSE","2015/10/21","KONEX","주권","일반기업부","보통주","500","4200000"
"KR7270210008","270210","에스알바이오텍","에스알바이오텍","SR biotek","2017/06/15","KONEX","주권","일반기업부","보통주","500","1711448"
"KR7217910009","217910","에스제이켐","에스제이켐","SJ-CHEM","2018/04/27","KONEX","주권","일반기업부","보통주","100","13990522"
"KR70070X0000","0070X0","에스테크엠","에스테크엠","STM","2026/04/27","KONEX","주권","일반기업부","보통주","500","1510000"
"KR7234070001","234070","에이원큐브텍","에이원큐브텍","A ONE CUBETECH","2015/12/21","KONEX","주권","일반기업부","보통주","500","6960703"
"KR7207490004","207490","에이펙스인텍","에이펙스인텍","APEX INTEC","2018/11/28","KONEX","주권","일반기업부","보통주","500","3600000"
"KR7446440000","446440","에피바이오텍","에피바이오텍","Epi Biotech","2023/07/31","KONEX","주권","일반기업부","보통주","500","2306879"
"KR7059180000","059180","엔더블유시","엔더블유시","NWC","2025/12/22","KONEX","주권","일반기업부","보통주","500","5314090"
"KR7140610007","140610","엔솔바이오사이언스","엔솔바이오사이언스","Ensol Biosciences","2018/09/10","KONEX","주권","일반기업부","보통주","500","13889073"
"KR7224760009","224760","엔에스컴퍼니","엔에스컴퍼니","NSCOMPANY","2015/07/31","KONEX","주권","일반기업부","보통주","500","3939700"
"KR7093510006","093510","엔지브이아이","엔지브이아이","NGVI","2019/09/30","KONEX","주권","일반기업부","보통주","500","6020000"
"KR7276240009","276240","엘리비젼","엘리비젼","Elivision","2018/07/05","KONEX","주권","일반기업부","보통주","500","12313138"
"KR7311060008","311060","엘에이티","엘에이티","LAT","2018/12/28","KONEX","주권","일반기업부","보통주","500","7872134"
"KR7212310007","212310","오건에코텍","오건에코텍","Organ Eco Tech","2016/07/26","KONEX","주권","일반기업부","보통주","500","11834115"
"KR7332190008","332190","오션스바이오","오션스바이오","OceansBio","2025/01/14","KONEX","주권","일반기업부","보통주","100","1477839"
"KR7122830003","122830","원포유","원포유","ONE4U","2020/10/23","KONEX","주권","일반기업부","보통주","100","32751985"
"KR7140660002","140660","위월드 주식회사","위월드","WIWORLD Co.,Ltd","2013/12/26","KONEX","주권","일반기업부","보통주","500","2487252"
"KR7121060008","121060","유니포인트","유니포인트","UNIPOINT Corp.","2014/10/24","KONEX","주권","일반기업부","보통주","500","5193783"
"KR7495810004","495810","유비씨","유비씨","UVC","2024/12/23","KONEX","주권","일반기업부","보통주","100","2500000"
"KR7337840003","337840","유엑스엔","유엑스엔","UXN","2019/11/28","KONEX","주권","일반기업부","보통주","500","4747536"
"KR7279060008","279060","이노벡스","이노벡스","INNOVEX","2019/04/12","KONEX","주권","일반기업부","보통주","100","9807866"
"KR7208850008","208850","이비테크","이비테크","EB TECH","2016/06/22","KONEX","주권","일반기업부","보통주","1000","2820250"
"KR7379390008","379390","이성씨엔아이","이성씨엔아이","IHSUNGCNI","2021/06/04","KONEX","주권","일반기업부","보통주","500","2841460"
"KR7278990007","278990","이엠비","EMB","EMB","2017/10/31","KONEX","주권","일반기업부","보통주","500","8064777"
"KR7232530006","232530","이엠티","이엠티","Energy Material Tech","2015/12/30","KONEX","주권","일반기업부","보통주","500","25614304"
"KR7216400002","216400","인바이츠바이오코아","인바이츠바이오코아","INVITES BIOCORE","2015/06/29","KONEX","주권","일반기업부","보통주","500","7711315"
"KR7311960009","311960","인터로이드","인터로이드","InterRoid","2022/11/29","KONEX","주권","일반기업부","보통주","500","3062664"
"KR7066830001","066830","제노텍","제노텍","GENOTECH","2016/07/18","KONEX","주권","일반기업부","보통주","500","5667180"
"KR7254160005","254160","제이엠멀티","제이엠멀티","JM-MULTI","2021/12/13","KONEX","주권","일반기업부","보통주","500","5160000"
"KR7185190006","185190","주식회사 수프로","수프로","Suppro Co.,Ltd","2013/10/29","KONEX","주권","일반기업부","보통주","200","9238625"
"KR7189350002","189350","주식회사 코셋","코셋","Coset Inc.","2013/12/24","KONEX","주권","일반기업부","보통주","500","4800000"
"KR7299480004","299480","지앤이헬스케어","지앤이헬스케어","G&E Healthcare","2018/06/29","KONEX","주권","일반기업부","보통주","100","11100743"
"KR7076340009","076340","지에이이노더스","지에이이노더스","GA INNODUS","2015/05/18","KONEX","주권","일반기업부","보통주","500","4871460"
"KR7250030004","250030","진코스텍","진코스텍","JINCOSTECH","2019/11/29","KONEX","주권","일반기업부","보통주","500","2891933"
"KR7233990001","233990","질경이","질경이","JILGYUNGYI","2015/12/29","KONEX","주권","일반기업부","보통주","100","16128534"
"KR7112190004","112190","케이씨산업","KC산업","KC INDUSTRY","2016/05/31","KONEX","주권","일반기업부","보통주","500","27204889"
"KR7402420004","402420","켈스","켈스","CALTH","2021/11/30","KONEX","주권","일반기업부","보통주","500","2348763"
"KR7176590008","176590","코나솔","코나솔","KONASOL","2022/06/15","KONEX","주권","일반기업부","보통주","500","5836383"
"KR7169670007","169670","코스텍시스템","코스텍시스템","Kostek Systems","2022/01/21","KONEX","주권","일반기업부","보통주","500","2868401"
"KR7456190008","456190","큐라켐","큐라켐","CURACHEM","2023/05/18","KONEX","주권","일반기업부","보통주","500","1754286"
"KR7136660008","136660","큐엠씨","큐엠씨","QMC","2014/07/01","KONEX","주권","일반기업부","보통주","500","2360950"
"KR7215570003","215570","크로넥스","크로넥스","CRONEX","2015/12/28","KONEX","주권","일반기업부","보통주","500","6232444"
"KR7336040001","336040","타스컴","타스컴","TASCOM","2019/12/02","KONEX","주권","일반기업부","보통주","500","5789929"
"KR7346010002","346010","타이드","타이드","TIDE","2022/12/28","KONEX","주권","일반기업부","보통주","500","4860062"
"KR7318660008","318660","타임기술","타임기술","TIME Technical Support","2021/06/24","KONEX","주권","일반기업부","보통주","500","2152101"
"KR7476710009","476710","타조이엔터테인먼트","타조이엔터테인먼트","TAJOYENT","2024/10/30","KONEX","주권","일반기업부","보통주","100","1000000"
"KR7434190005","434190","탈로스","탈로스","Talos","2022/10/24","KONEX","주권","일반기업부","보통주","500","7369434"
"KR7180060006","180060","탑선","탑선","TOPSUN","2017/10/27","KONEX","주권","일반기업부","보통주","500","9347666"
"KR7052960002","052960","태양3C","태양3C","3CTY","2023/01/26","KONEX","주권","일반기업부","보통주","500","4887078"
"KR7116100009","116100","태양기계 주식회사","태양기계","Sun Machinery Co.,LTD","2013/07/01","KONEX","주권","일반기업부","보통주","500","7439986"
"KR7258050004","258050","테크트랜스","테크트랜스","Tech Trans","2018/07/13","KONEX","주권","일반기업부","보통주","100","11145949"
"KR7413300005","413300","티엘엔지니어링","티엘엔지니어링","TL Engineering","2022/09/27","KONEX","주권","일반기업부","보통주","500","1351515"
"KR7217880004","217880","틸론","틸론","TILON","2015/05/28","KONEX","주권","일반기업부","보통주","500","10727290"
"KR7217950005","217950","파마리서치바이오","파마리서치바이오","PHARMARESEARCH BIO","2015/11/05","KONEX","주권","일반기업부","보통주","500","4183240"
"KR7202960001","202960","판도라티비","판도라티비","PANDORA TV CO.,LTD.","2014/08/11","KONEX","주권","일반기업부","보통주","500","11915582"
"KR7266350008","266350","팡스카이","팡스카이","PangSky","2024/06/28","KONEX","주권","일반기업부","보통주","500","12629570"
"KR7327610002","327610","펨토바이오메드","펨토바이오메드","Femtobiomed","2019/07/10","KONEX","주권","일반기업부","보통주","500","8536086"
"KR7341170009","341170","퓨쳐메디신","퓨쳐메디신","Future Medicine","2022/07/27","KONEX","주권","일반기업부","보통주","500","10533205"
"KR7296160005","296160","프로젠","프로젠","ProGen","2023/11/15","KONEX","주권","일반기업부","보통주","500","15375079"
"KR7222670002","222670","플럼라인생명과학","플럼라인생명과학","Plumbline Life Sciences","2015/07/28","KONEX","주권","일반기업부","보통주","500","4032932"
"KR7331660001","331660","한국미라클피플사","한국미라클피플사","KOREA MIRACLE PEOPLE COMPANY","2019/10/28","KONEX","주권","일반기업부","보통주","100","5500000"